id,team,seasonIndex,stageIndex,weekIndex,totalLosses,totalTies,totalWins,rank,prevRank,ptsAgainstRank,ptsForRank,offPassYdsRank,offRushYdsRank,offTotalYdsRank,defPassYdsRank,defRushYdsRank,defTotalYdsRank
11257855,Ravens,0,1,2,1,0,1,10,12,14,19,17,19,18,27,4,22
11257876,Falcons,0,1,2,1,0,1,11,5,23,9,13,5,8,29,9,25
11257868,Seahawks,0,1,2,1,0,1,13,16,11,25,30,18,29,14,8,8
11257871,Texans,0,1,2,1,0,1,23,22,25,11,7,17,12,23,25,28
11257869,Steelers,0,1,2,1,0,1,21,21,22,7,5,32,20,6,29,12
11257854,Rams,0,1,2,1,0,1,24,23,8,20,24,8,16,17,7,7
11257849,Packers,0,1,2,1,0,1,17,15,7,13,9,9,9,9,18,9
11257845,Patriots,0,1,2,0,0,2,4,4,1,22,23,20,27,4,30,14
11257870,Browns,0,1,2,1,0,1,14,17,12,24,14,23,21,7,26,19
11257853,49ers,0,1,2,1,0,1,18,32,20,17,12,12,10,19,2,4
11257851,Bills,0,1,2,0,0,2,2,1,19,6,2,22,3,8,16,6
11257846,Panthers,0,1,2,2,0,0,29,25,21,31,20,13,15,5,32,20
11257875,Vikings,0,1,2,0,0,2,1,6,9,15,15,24,23,10,6,5
11257859,Jaguars,0,1,2,1,0,1,25,9,5,30,28,25,30,15,20,17
11257860,Titans,0,1,2,2,0,0,32,29,18,32,32,29,32,2,13,2
11257873,Commanders,0,1,2,2,0,0,31,27,32,23,19,15,17,32,15,30
11257861,Colts,0,1,2,0,0,2,3,3,3,2,6,6,2,3,21,3
11257858,Bengals,0,1,2,1,0,1,15,31,13,16,16,11,13,20,12,18
11257862,Dolphins,0,1,2,2,0,0,27,24,27,26,29,7,26,28,19,27
11257857,Chargers,0,1,2,1,0,1,19,18,30,4,10,14,11,22,23,26
11257852,Giants,0,1,2,0,0,2,6,8,16,3,1,27,5,18,11,13
11257863,Raiders,0,1,2,1,0,1,9,11,17,5,27,1,7,16,14,15
